product_id,name,category,price,image_url
1,Apple iPhone 15 Pro,Electronics,999.99,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=400
2,Samsung Galaxy S24,Electronics,849.99,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=400
3,Sony WH-1000XM5 Headphones,Electronics,349.99,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=400
4,MacBook Pro 14-inch,Electronics,1999.99,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400
5,iPad Air,Electronics,599.99,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400
6,Nike Air Max 270,Footwear,150.00,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
7,Adidas Ultraboost 22,Footwear,180.00,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400
8,Puma RS-X Sneakers,Footwear,110.00,https://images.unsplash.com/photo-1491553895911-0055eca6402d?w=400
9,New Balance 574,Footwear,90.00,https://images.unsplash.com/photo-1539185441755-769473a23570?w=400
10,Reebok Classic Leather,Footwear,75.00,https://images.unsplash.com/photo-1562183241-b937e95585b6?w=400
11,The Alchemist (Book),Books,12.99,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400
12,Atomic Habits (Book),Books,16.99,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400
13,Dune (Book),Books,14.99,https://images.unsplash.com/photo-1531072901881-d644216d4bf9?w=400
14,Deep Work (Book),Books,15.99,https://images.unsplash.com/photo-1506880018603-83d5b814b5a6?w=400
15,Sapiens (Book),Books,18.99,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?w=400
16,Levi's 501 Jeans,Clothing,59.99,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400
17,H&M Cotton T-Shirt,Clothing,19.99,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400
18,Zara Blazer,Clothing,89.99,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400
19,Uniqlo Hoodie,Clothing,49.99,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=400
20,Ralph Lauren Polo,Clothing,85.00,https://images.unsplash.com/photo-1586363104862-3a5e2ab60d99?w=400
21,Instant Pot Duo,Kitchen,89.99,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400
22,Nespresso Vertuo,Kitchen,149.99,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400
23,KitchenAid Stand Mixer,Kitchen,399.99,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400
24,Vitamix Blender,Kitchen,549.99,https://images.unsplash.com/photo-1570222094114-d054a817e56b?w=400
25,Lodge Cast Iron Skillet,Kitchen,49.99,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400
26,Yoga Mat Premium,Sports,45.00,https://images.unsplash.com/photo-1601925228220-3e0b2f5e5b30?w=400
27,Resistance Bands Set,Sports,25.99,https://images.unsplash.com/photo-1598971861713-54ad16a7e72e?w=400
28,Dumbbell Set 20kg,Sports,79.99,https://images.unsplash.com/photo-1623874228601-f4193c7b1818?w=400
29,Jump Rope Speed,Sports,15.99,https://images.unsplash.com/photo-1598032895397-b9472444bf93?w=400
30,Foam Roller,Sports,29.99,https://images.unsplash.com/photo-1639843832462-2dfb06f49e87?w=400
