user_id,product_id,rating
1,1,5
1,3,4
1,4,5
1,5,3
1,11,4
1,12,5
2,1,4
2,2,5
2,3,5
2,6,4
2,7,3
2,16,4
3,6,5
3,7,5
3,8,4
3,9,3
3,26,5
3,27,4
4,11,5
4,12,4
4,13,5
4,14,4
4,15,5
4,4,3
5,21,5
5,22,4
5,23,5
5,24,4
5,25,3
5,17,4
6,1,3
6,2,4
6,4,5
6,5,4
6,22,3
6,23,4
7,6,4
7,8,5
7,9,4
7,10,3
7,26,4
7,28,5
8,11,3
8,13,4
8,14,5
8,15,4
8,12,5
8,19,3
9,21,4
9,22,5
9,24,5
9,25,4
9,16,3
9,18,4
10,1,5
10,3,4
10,4,4
10,6,3
10,11,5
10,26,4
11,2,5
11,5,4
11,7,3
11,17,4
11,21,5
11,23,4
12,8,4
12,9,5
12,10,4
12,27,5
12,29,4
12,30,3
13,12,5
13,13,4
13,14,5
13,15,3
13,4,4
13,1,3
14,22,5
14,23,4
14,24,5
14,21,4
14,18,3
14,20,4
15,6,5
15,7,4
15,8,5
15,9,4
15,26,5
15,28,4
16,1,4
16,2,5
16,3,4
16,11,3
16,12,4
16,22,5
17,13,5
17,14,4
17,15,5
17,16,3
17,17,4
17,19,5
18,21,4
18,23,5
18,24,4
18,25,5
18,26,3
18,27,4
19,6,3
19,8,4
19,9,5
19,10,4
19,28,5
19,30,4
20,1,5
20,4,5
20,5,4
20,12,4
20,13,3
20,22,4
